CasoIndex,Etiqueta,Valor,Raw,Quality
1,Relato de los hechos,"¿Qué viene a denunciar? ESTAFA ART. 246 SE LE ENVIA LINK DE SUIP AL CORREO ELECTRÓNICO DEL USUARIO PARA QUE MEDIANTE AUTOGESTIÓN FINALICE EL REGISTRO DE SU DENUNCIA ¿Cómo le pasó? SE COMPRO LA MOTOCICLETA MARCA HONDA PPP 300 MODELO 2002 CON PLACAS JJJ95F AL SEÑOR CARLOS BARRANQUILLA HERNANDEZ CC 8888738290 DOMICILIADO EN LA CRA 13 NRO 9B 17 BARRIO CARIBE TELEFONO 3225506549, EL DIA 08/12/2027 MOMENTO EN EL CUAL EL SEÑOR ENTREGA CON LA MOTOCICLETA LOS TRASPASOS DE PROPIEDAD FIRMADOS Y AUTENTICADOS POR EL PROPIETARIO MARCOS RODRIGUEZ DIAZ, EL SEÑOR BARRANQUILLA HERNANDEZ RECIBIO LA SUMA DE $416.750.000 ADEMAS DE $828.000 DE LOS GASTOS DEL TRASPASO, $543.000 PARA EL PAGO DEL IMPUESTO AUTOMOTOR DE LA MOTOCICLETA Y $250.000 DESTINADOS PARA EL CAMBIO DE UN REPUESTO DE LA MOTOCICLETA, EN SU MOMENTO EL SEÑOR BARRANQUILLA HERNANDEZ ADUJO QUE EL GARANTIZABA LA PROCEDENCIA DEL VEHICULO YA QUE SIEMPRE HABIA SIDO DE SU PROPIEDAD PERO POSTERIORMENTE FUE SINCERO Y DIJO QUE LA MOTOCICLETA LA HABIA COMPRADO EL 17/11/2027 EN LA CIUDAD DE TUNJA MOMENTO EN QUE REALIZO UNA COMPRAVENTA AUTOTENTICADA POR LA NOTARIA NOVENA DEL CIRCUITO. EL NEGOCIO TUVO LUGAR EN LA CRA 80 CON CALLE 38 AL FRENTE DE LA CLINICA LAS AMERICAS DE LA 80. EL PASADO LUNES 7 DE ENERO EN UN CONTROL POLICIAL SE REVISAN LOS ANTECEDENTES DE LA MOTOCICLETA ENCONTRANDO QUE EL VEHICULO TIENE UN DENUNCIO POR HURTO EN LA FISCALIA 223 SECCIONAL BOGOTA CON NOTICIA CRIMINAL 888816101523202304732 POR LO QUE EL VEHICULO FUE CONDUCIDO A LA ESTACION DE POLICIA DEL MUNICIPIO DE BELLO ANTIOQUIA PARA SER PUESTO A DISPOSICION DE LA AUTORIDAD COMPETENTE, A PESAR DE HABER TRATADO DE LLEGAR A UN ACUERDO CON EL SEÑOR BARRANQUILLA HERNANDEZ NO SE HA PODIDO.","¿Qué viene a denunciar? ESTAFA ART. 246 SE LE ENVIA LINK DE SUIP AL CORREO ELECTRÓNICO DEL USUARIO PARA QUE MEDIANTE AUTOGESTIÓN FINALICE EL REGISTRO DE SU DENUNCIA ¿Cómo le pasó? SE COMPRO LA MOTOCICLETA MARCA HONDA PPP 300 MODELO 2002 CON PLACAS JJJ95F AL SEÑOR CARLOS BARRANQUILLA HERNANDEZ CC 8888738290 DOMICILIADO EN LA CRA 13 NRO 9B 17 BARRIO CARIBE TELEFONO 3225506549, EL DIA 08/12/2027 MOMENTO EN EL CUAL EL SEÑOR ENTREGA CON LA MOTOCICLETA LOS TRASPASOS DE PROPIEDAD FIRMADOS Y AUTENTICADOS POR EL PROPIETARIO MARCOS RODRIGUEZ DIAZ, EL SEÑOR BARRANQUILLA HERNANDEZ RECIBIO LA SUMA DE $416.750.000 ADEMAS DE $828.000 DE LOS GASTOS DEL TRASPASO, $543.000 PARA EL PAGO DEL IMPUESTO AUTOMOTOR DE LA MOTOCICLETA Y $250.000 DESTINADOS PARA EL CAMBIO DE UN REPUESTO DE LA MOTOCICLETA, EN SU MOMENTO EL SEÑOR BARRANQUILLA HERNANDEZ ADUJO QUE EL GARANTIZABA LA PROCEDENCIA DEL VEHICULO YA QUE SIEMPRE HABIA SIDO DE SU PROPIEDAD PERO POSTERIORMENTE FUE SINCERO Y DIJO QUE LA MOTOCICLETA LA HABIA COMPRADO EL 17/11/2027 EN LA CIUDAD DE TUNJA MOMENTO EN QUE REALIZO UNA COMPRAVENTA AUTOTENTICADA POR LA NOTARIA NOVENA DEL CIRCUITO. EL NEGOCIO TUVO LUGAR EN LA CRA 80 CON CALLE 38 AL FRENTE DE LA CLINICA LAS AMERICAS DE LA 80. EL PASADO LUNES 7 DE ENERO EN UN CONTROL POLICIAL SE REVISAN LOS ANTECEDENTES DE LA MOTOCICLETA ENCONTRANDO QUE EL VEHICULO TIENE UN DENUNCIO POR HURTO EN LA FISCALIA 223 SECCIONAL BOGOTA CON NOTICIA CRIMINAL 888816101523202304732 POR LO QUE EL VEHICULO FUE CONDUCIDO A LA ESTACION DE POLICIA DEL MUNICIPIO DE BELLO ANTIOQUIA PARA SER PUESTO A DISPOSICION DE LA AUTORIDAD COMPETENTE, A PESAR DE HABER TRATADO DE LLEGAR A UN ACUERDO CON EL SEÑOR BARRANQUILLA HERNANDEZ NO SE HA PODIDO.",OK
1,Municipio Fiscal,1 - BOGOTÁ,1 - BOGOTÁ,OK
1,Seccional,100141 - DIRECCIÓN SECCIONAL DE BOGOTA,100141 - DIRECCIÓN SECCIONAL DE BOGOTA,OK
1,Unidad de Fiscalía,500141034 - UNIDAD ESTAFAS - BOGOTA,500141034 - UNIDAD ESTAFAS - BOGOTA,OK
1,Despacho,333 - FISCALIA 333,333 - FISCALIA 333,OK
1,Estado de la asignación,VIGENTE,VIGENTE,OK
1,Unidad de Enrutamiento,DIRECCIÓN SECCIONAL DE BOGOTÁ-UNIDAD ESTAFAS - BOGOTÁ,DIRECCIÓN SECCIONAL DE BOGOTÁ-UNIDAD ESTAFAS - BOGOTÁ,OK
1,Estado del caso,ACTIVO,ACTIVO,OK
1,Etapa del caso,QUERELLABLE,QUERELLABLE,OK
1,Calidad_1,DENUNCIANTE,,
1,Documento_1,CEDULA DE CIUDADANIA,,
1,Número documento_1,7778347478,,
1,Nombre_1,ACEVEDO ESTRADA PEDRO MIGUEL Departamento de notificación: TOLIMA Municipio de notificación: IBAGUE,,
1,Departamento de notificación_1,,,
1,Municipio de notificación_1,,,
1,Dirección de notificación_1,CALLE 9 CON CARRERA 13 -56,,
1,Teléfono de notificación_1,3997382816,,
1,Teléfono móvil_1,377788992,,
1,Correo Electrónico_1,ACPMXXX@GMAIL.COM,,
1,Teléfono Oficina_1,6014569977,,
1,Calidad_2,INDICIADO,,
1,Documento_2,CEDULA DE CIUDADANIA,,
1,Número documento_2,8888738290,,
1,Nombre_2,BARRANQUILLA HERNANDEZ CARLOS Departamento de notificación: SANTANDER Municipio de notificación: BUCARAMANGA,,
1,Departamento de notificación_2,,,
1,Municipio de notificación_2,,,
1,Dirección de notificación_2,CARRERA 78 No. 45-28,,
1,Teléfono de notificación_2,6043280987,,
1,Teléfono móvil_2,3225506549,,
1,Correo Electrónico_2,sssss@hotmail.com,,
1,Teléfono Oficina_2,6012347849,,
1,Calidad_3,TESTIGO,,
1,Documento_3,CEDULA DE CIUDADANIA,,
1,Número documento_3,4444770387,,
1,Nombre_3,MESA MOLINA CLAUDI JOHANA Departamento de notificación: QUINDIO Municipio de notificación: ARMENIA,,
1,Departamento de notificación_3,,,
1,Municipio de notificación_3,,,
1,Dirección de notificación_3,DIAGINAL 3 No. 10-28,,
1,Teléfono de notificación_3,6136783425,,
1,Teléfono móvil_3,366634896,,
1,Correo Electrónico_3,zzzz@sert.com.co,,
1,Teléfono Oficina_3,602765893,,
1,Calidad_4,VICTIMA,,
1,Documento_4,CEDULA DE CIUDADANIA,,
1,Número documento_4,3338347478,,
1,Nombre_4,ACEVEDO ESTRADA EMILIA ANDREA Departamento de notificación: TOLIMA Municipio de notificación: IBAGUE,,
1,Departamento de notificación_4,,,
1,Municipio de notificación_4,,,
1,Dirección de notificación_4,CALLE 9 CON CARRERA 13,,
1,Teléfono de notificación_4,3557382816,,
1,Teléfono móvil_4,389788992,,
1,Correo Electrónico_4,PEPEXXX@GMAIL.COM,,
1,Teléfono Oficina_4,6014569999,,
1,Calidad_5,,,
1,Documento_5,,,
1,Número documento_5,,,
1,Nombre_5,,,
1,Departamento de notificación_5,,,
1,Municipio de notificación_5,,,
1,Dirección de notificación_5,,,
1,Teléfono de notificación_5,,,
1,Teléfono móvil_5,,,
1,Correo Electrónico_5,,,
1,Teléfono Oficina_5,,,
1,Calidad_6,,,
1,Documento_6,,,
1,Número documento_6,,,
1,Nombre_6,,,
1,Departamento de notificación_6,,,
1,Municipio de notificación_6,,,
1,Dirección de notificación_6,,,
1,Teléfono de notificación_6,,,
1,Teléfono móvil_6,,,
1,Correo Electrónico_6,,,
1,Teléfono Oficina_6,,,
1,Calidad_7,,,
1,Documento_7,,,
1,Número documento_7,,,
1,Nombre_7,,,
1,Departamento de notificación_7,,,
1,Municipio de notificación_7,,,
1,Dirección de notificación_7,,,
1,Teléfono de notificación_7,,,
1,Teléfono móvil_7,,,
1,Correo Electrónico_7,,,
1,Teléfono Oficina_7,,,
2,Caso Noticia,999916099166202411569,999916099166202411569,OK
2,Ley de Aplicabilidad,Ley 906,Ley 906,OK
2,Procedimiento Abreviado?,SI,SI,OK
2,Priorizado,NO,NO,OK
2,Tipo Noticia,QUERELLA,QUERELLA,OK
2,Delito,ESTAFA. ART. 246 C.P. MENOR CUANTIA,ESTAFA. ART. 246 C.P. MENOR CUANTIA,OK
2,Grado Delito,NINGUNO,NINGUNO,OK
2,Caracterización,BIENES MUEBLES,BIENES MUEBLES,OK
2,Modalidad,COMPRA,COMPRA,OK
2,Modo,PERSONAL SUPLANTACIÓN,PERSONAL SUPLANTACIÓN,OK
2,Fecha de los Hechos,08/12/2027 05:23:00,08/12/2027 05:23:00,OK
2,Lugar de los hechos,05001 CALLE 5 No. 72-30 BOGOTÁ,05001 CALLE 5 No. 72-30 BOGOTÁ,OK
2,Relato de los hechos,"¿Qué viene a denunciar? ESTAFA ART. 246 SE LE ENVIA LINK DE SUIP AL CORREO ELECTRÓNICO DEL USUARIO PARA QUE MEDIANTE AUTOGESTIÓN FINALICE EL REGISTRO DE SU DENUNCIA ¿Cómo le pasó? SE COMPRO LA MOTOCICLETA MARCA HONDA PPP 300 MODELO 2002 CON PLACAS JJJ95F AL SEÑOR CARLOS BARRANQUILLA HERNANDEZ CC 8888738290 DOMICILIADO EN LA CRA 13 NRO 9B 17 BARRIO CARIBE TELEFONO 3225506549, EL DIA 08/12/2027 MOMENTO EN EL CUAL EL SEÑOR ENTREGA CON LA MOTOCICLETA LOS TRASPASOS DE PROPIEDAD FIRMADOS Y AUTENTICADOS POR EL PROPIETARIO MARCOS RODRIGUEZ DIAZ, EL SEÑOR BARRANQUILLA HERNANDEZ RECIBIO LA SUMA DE $416.750.000 ADEMAS DE $828.000 DE LOS GASTOS DEL TRASPASO, $543.000 PARA EL PAGO DEL IMPUESTO AUTOMOTOR DE LA MOTOCICLETA Y $250.000 DESTINADOS PARA EL CAMBIO DE UN REPUESTO DE LA MOTOCICLETA, EN SU MOMENTO EL SEÑOR BARRANQUILLA HERNANDEZ ADUJO QUE EL GARANTIZABA LA PROCEDENCIA DEL VEHICULO YA QUE SIEMPRE HABIA SIDO DE SU PROPIEDAD PERO POSTERIORMENTE FUE SINCERO Y DIJO QUE LA MOTOCICLETA LA HABIA COMPRADO EL 17/11/2027 EN LA CIUDAD DE TUNJA MOMENTO EN QUE REALIZO UNA COMPRAVENTA AUTOTENTICADA POR LA NOTARIA NOVENA DEL CIRCUITO. EL NEGOCIO TUVO LUGAR EN LA CRA 80 CON CALLE 38 AL FRENTE DE LA CLINICA LAS AMERICAS DE LA 80. EL PASADO LUNES 7 DE ENERO EN UN CONTROL POLICIAL SE REVISAN LOS ANTECEDENTES DE LA MOTOCICLETA ENCONTRANDO QUE EL VEHICULO TIENE UN DENUNCIO POR HURTO EN LA FISCALIA 223 SECCIONAL BOGOTA CON NOTICIA CRIMINAL 888816101523202304732 POR LO QUE EL VEHICULO FUE CONDUCIDO A LA ESTACION DE POLICIA DEL MUNICIPIO DE BELLO ANTIOQUIA PARA SER PUESTO A DISPOSICION DE LA AUTORIDAD COMPETENTE, A PESAR DE HABER TRATADO DE LLEGAR A UN ACUERDO CON EL SEÑOR BARRANQUILLA HERNANDEZ NO SE HA PODIDO.","¿Qué viene a denunciar? ESTAFA ART. 246 SE LE ENVIA LINK DE SUIP AL CORREO ELECTRÓNICO DEL USUARIO PARA QUE MEDIANTE AUTOGESTIÓN FINALICE EL REGISTRO DE SU DENUNCIA ¿Cómo le pasó? SE COMPRO LA MOTOCICLETA MARCA HONDA PPP 300 MODELO 2002 CON PLACAS JJJ95F AL SEÑOR CARLOS BARRANQUILLA HERNANDEZ CC 8888738290 DOMICILIADO EN LA CRA 13 NRO 9B 17 BARRIO CARIBE TELEFONO 3225506549, EL DIA 08/12/2027 MOMENTO EN EL CUAL EL SEÑOR ENTREGA CON LA MOTOCICLETA LOS TRASPASOS DE PROPIEDAD FIRMADOS Y AUTENTICADOS POR EL PROPIETARIO MARCOS RODRIGUEZ DIAZ, EL SEÑOR BARRANQUILLA HERNANDEZ RECIBIO LA SUMA DE $416.750.000 ADEMAS DE $828.000 DE LOS GASTOS DEL TRASPASO, $543.000 PARA EL PAGO DEL IMPUESTO AUTOMOTOR DE LA MOTOCICLETA Y $250.000 DESTINADOS PARA EL CAMBIO DE UN REPUESTO DE LA MOTOCICLETA, EN SU MOMENTO EL SEÑOR BARRANQUILLA HERNANDEZ ADUJO QUE EL GARANTIZABA LA PROCEDENCIA DEL VEHICULO YA QUE SIEMPRE HABIA SIDO DE SU PROPIEDAD PERO POSTERIORMENTE FUE SINCERO Y DIJO QUE LA MOTOCICLETA LA HABIA COMPRADO EL 17/11/2027 EN LA CIUDAD DE TUNJA MOMENTO EN QUE REALIZO UNA COMPRAVENTA AUTOTENTICADA POR LA NOTARIA NOVENA DEL CIRCUITO. EL NEGOCIO TUVO LUGAR EN LA CRA 80 CON CALLE 38 AL FRENTE DE LA CLINICA LAS AMERICAS DE LA 80. EL PASADO LUNES 7 DE ENERO EN UN CONTROL POLICIAL SE REVISAN LOS ANTECEDENTES DE LA MOTOCICLETA ENCONTRANDO QUE EL VEHICULO TIENE UN DENUNCIO POR HURTO EN LA FISCALIA 223 SECCIONAL BOGOTA CON NOTICIA CRIMINAL 888816101523202304732 POR LO QUE EL VEHICULO FUE CONDUCIDO A LA ESTACION DE POLICIA DEL MUNICIPIO DE BELLO ANTIOQUIA PARA SER PUESTO A DISPOSICION DE LA AUTORIDAD COMPETENTE, A PESAR DE HABER TRATADO DE LLEGAR A UN ACUERDO CON EL SEÑOR BARRANQUILLA HERNANDEZ NO SE HA PODIDO.",OK
2,Municipio Fiscal,1 - BOGOTÁ,1 - BOGOTÁ,OK
2,Seccional,100141 - DIRECCIÓN SECCIONAL DE BOGOTA,100141 - DIRECCIÓN SECCIONAL DE BOGOTA,OK
2,Unidad de Fiscalía,500141034 - UNIDAD ESTAFAS - BOGOTA,500141034 - UNIDAD ESTAFAS - BOGOTA,OK
2,Despacho,333 - FISCALIA 333,333 - FISCALIA 333,OK
2,Estado de la asignación,VIGENTE,VIGENTE,OK
2,Unidad de Enrutamiento,DIRECCIÓN SECCIONAL DE BOGOTÁ-UNIDAD ESTAFAS - BOGOTÁ,DIRECCIÓN SECCIONAL DE BOGOTÁ-UNIDAD ESTAFAS - BOGOTÁ,OK
2,Estado del caso,ACTIVO,ACTIVO,OK
2,Etapa del caso,QUERELLABLE,QUERELLABLE,OK
2,Calidad_1,DENUNCIANTE,,
2,Documento_1,CEDULA DE CIUDADANIA,,
2,Número documento_1,7778347478,,
2,Nombre_1,ACEVEDO ESTRADA PEDRO MIGUEL Departamento de notificación: TOLIMA Municipio de notificación: IBAGUE,,
2,Departamento de notificación_1,,,
2,Municipio de notificación_1,,,
2,Dirección de notificación_1,CALLE 9 CON CARRERA 13 -56,,
2,Teléfono de notificación_1,3997382816,,
2,Teléfono móvil_1,377788992,,
2,Correo Electrónico_1,ACPMXXX@GMAIL.COM,,
2,Teléfono Oficina_1,6014569977,,
2,Calidad_2,INDICIADO,,
2,Documento_2,CEDULA DE CIUDADANIA,,
2,Número documento_2,8888738290,,
2,Nombre_2,BARRANQUILLA HERNANDEZ CARLOS Departamento de notificación: SANTANDER Municipio de notificación: BUCARAMANGA,,
2,Departamento de notificación_2,,,
2,Municipio de notificación_2,,,
2,Dirección de notificación_2,CARRERA 78 No. 45-28,,
2,Teléfono de notificación_2,6043280987,,
2,Teléfono móvil_2,3225506549,,
2,Correo Electrónico_2,sssss@hotmail.com,,
2,Teléfono Oficina_2,6012347849,,
2,Calidad_3,TESTIGO,,
2,Documento_3,CEDULA DE CIUDADANIA,,
2,Número documento_3,4444770387,,
2,Nombre_3,MESA MOLINA CLAUDI JOHANA Departamento de notificación: QUINDIO Municipio de notificación: ARMENIA,,
2,Departamento de notificación_3,,,
2,Municipio de notificación_3,,,
2,Dirección de notificación_3,DIAGINAL 3 No. 10-28,,
2,Teléfono de notificación_3,6136783425,,
2,Teléfono móvil_3,366634896,,
2,Correo Electrónico_3,zzzz@sert.com.co,,
2,Teléfono Oficina_3,602765893,,
2,Calidad_4,VICTIMA,,
2,Documento_4,CEDULA DE CIUDADANIA,,
2,Número documento_4,3338347478,,
2,Nombre_4,ACEVEDO ESTRADA EMILIA ANDREA Departamento de notificación: TOLIMA Municipio de notificación: IBAGUE,,
2,Departamento de notificación_4,,,
2,Municipio de notificación_4,,,
2,Dirección de notificación_4,CALLE 9 CON CARRERA 13,,
2,Teléfono de notificación_4,3557382816,,
2,Teléfono móvil_4,389788992,,
2,Correo Electrónico_4,PEPEXXX@GMAIL.COM,,
2,Teléfono Oficina_4,6014569999,,
2,Calidad_5,,,
2,Documento_5,,,
2,Número documento_5,,,
2,Nombre_5,,,
2,Departamento de notificación_5,,,
2,Municipio de notificación_5,,,
2,Dirección de notificación_5,,,
2,Teléfono de notificación_5,,,
2,Teléfono móvil_5,,,
2,Correo Electrónico_5,,,
2,Teléfono Oficina_5,,,
2,Calidad_6,,,
2,Documento_6,,,
2,Número documento_6,,,
2,Nombre_6,,,
2,Departamento de notificación_6,,,
2,Municipio de notificación_6,,,
2,Dirección de notificación_6,,,
2,Teléfono de notificación_6,,,
2,Teléfono móvil_6,,,
2,Correo Electrónico_6,,,
2,Teléfono Oficina_6,,,
2,Calidad_7,,,
2,Documento_7,,,
2,Número documento_7,,,
2,Nombre_7,,,
2,Departamento de notificación_7,,,
2,Municipio de notificación_7,,,
2,Dirección de notificación_7,,,
2,Teléfono de notificación_7,,,
2,Teléfono móvil_7,,,
2,Correo Electrónico_7,,,
2,Teléfono Oficina_7,,,
3,Caso Noticia,999916099166202411569,999916099166202411569,OK
3,Ley de Aplicabilidad,Ley 906,Ley 906,OK
3,Procedimiento Abreviado?,SI,SI,OK
3,Priorizado,NO,NO,OK
3,Tipo Noticia,QUERELLA,QUERELLA,OK
3,Delito,ESTAFA. ART. 246 C.P. MENOR CUANTIA,ESTAFA. ART. 246 C.P. MENOR CUANTIA,OK
3,Grado Delito,NINGUNO,NINGUNO,OK
3,Caracterización,BIENES MUEBLES,BIENES MUEBLES,OK
3,Modalidad,COMPRA,COMPRA,OK
3,Modo,PERSONAL SUPLANTACIÓN,PERSONAL SUPLANTACIÓN,OK
3,Fecha de los Hechos,08/12/2027 05:23:00,08/12/2027 05:23:00,OK
3,Lugar de los hechos,05001 CALLE 5 No. 72-30 BOGOTÁ,05001 CALLE 5 No. 72-30 BOGOTÁ,OK
3,Relato de los hechos,"¿Qué viene a denunciar? ESTAFA ART. 246 SE LE ENVIA LINK DE SUIP AL CORREO ELECTRÓNICO DEL USUARIO PARA QUE MEDIANTE AUTOGESTIÓN FINALICE EL REGISTRO DE SU DENUNCIA ¿Cómo le pasó? SE COMPRO LA MOTOCICLETA MARCA HONDA PPP 300 MODELO 2002 CON PLACAS JJJ95F AL SEÑOR CARLOS BARRANQUILLA HERNANDEZ CC 8888738290 DOMICILIADO EN LA CRA 13 NRO 9B 17 BARRIO CARIBE TELEFONO 3225506549, EL DIA 08/12/2027 MOMENTO EN EL CUAL EL SEÑOR ENTREGA CON LA MOTOCICLETA LOS TRASPASOS DE PROPIEDAD FIRMADOS Y AUTENTICADOS POR EL PROPIETARIO MARCOS RODRIGUEZ DIAZ, EL SEÑOR BARRANQUILLA HERNANDEZ RECIBIO LA SUMA DE $416.750.000 ADEMAS DE $828.000 DE LOS GASTOS DEL TRASPASO, $543.000 PARA EL PAGO DEL IMPUESTO AUTOMOTOR DE LA MOTOCICLETA Y $250.000 DESTINADOS PARA EL CAMBIO DE UN REPUESTO DE LA MOTOCICLETA, EN SU MOMENTO EL SEÑOR BARRANQUILLA HERNANDEZ ADUJO QUE EL GARANTIZABA LA PROCEDENCIA DEL VEHICULO YA QUE SIEMPRE HABIA SIDO DE SU PROPIEDAD PERO POSTERIORMENTE FUE SINCERO Y DIJO QUE LA MOTOCICLETA LA HABIA COMPRADO EL 17/11/2027 EN LA CIUDAD DE TUNJA MOMENTO EN QUE REALIZO UNA COMPRAVENTA AUTOTENTICADA POR LA NOTARIA NOVENA DEL CIRCUITO. EL NEGOCIO TUVO LUGAR EN LA CRA 80 CON CALLE 38 AL FRENTE DE LA CLINICA LAS AMERICAS DE LA 80. EL PASADO LUNES 7 DE ENERO EN UN CONTROL POLICIAL SE REVISAN LOS ANTECEDENTES DE LA MOTOCICLETA ENCONTRANDO QUE EL VEHICULO TIENE UN DENUNCIO POR HURTO EN LA FISCALIA 223 SECCIONAL BOGOTA CON NOTICIA CRIMINAL 888816101523202304732 POR LO QUE EL VEHICULO FUE CONDUCIDO A LA ESTACION DE POLICIA DEL MUNICIPIO DE BELLO ANTIOQUIA PARA SER PUESTO A DISPOSICION DE LA AUTORIDAD COMPETENTE, A PESAR DE HABER TRATADO DE LLEGAR A UN ACUERDO CON EL SEÑOR BARRANQUILLA HERNANDEZ NO SE HA PODIDO.","¿Qué viene a denunciar? ESTAFA ART. 246 SE LE ENVIA LINK DE SUIP AL CORREO ELECTRÓNICO DEL USUARIO PARA QUE MEDIANTE AUTOGESTIÓN FINALICE EL REGISTRO DE SU DENUNCIA ¿Cómo le pasó? SE COMPRO LA MOTOCICLETA MARCA HONDA PPP 300 MODELO 2002 CON PLACAS JJJ95F AL SEÑOR CARLOS BARRANQUILLA HERNANDEZ CC 8888738290 DOMICILIADO EN LA CRA 13 NRO 9B 17 BARRIO CARIBE TELEFONO 3225506549, EL DIA 08/12/2027 MOMENTO EN EL CUAL EL SEÑOR ENTREGA CON LA MOTOCICLETA LOS TRASPASOS DE PROPIEDAD FIRMADOS Y AUTENTICADOS POR EL PROPIETARIO MARCOS RODRIGUEZ DIAZ, EL SEÑOR BARRANQUILLA HERNANDEZ RECIBIO LA SUMA DE $416.750.000 ADEMAS DE $828.000 DE LOS GASTOS DEL TRASPASO, $543.000 PARA EL PAGO DEL IMPUESTO AUTOMOTOR DE LA MOTOCICLETA Y $250.000 DESTINADOS PARA EL CAMBIO DE UN REPUESTO DE LA MOTOCICLETA, EN SU MOMENTO EL SEÑOR BARRANQUILLA HERNANDEZ ADUJO QUE EL GARANTIZABA LA PROCEDENCIA DEL VEHICULO YA QUE SIEMPRE HABIA SIDO DE SU PROPIEDAD PERO POSTERIORMENTE FUE SINCERO Y DIJO QUE LA MOTOCICLETA LA HABIA COMPRADO EL 17/11/2027 EN LA CIUDAD DE TUNJA MOMENTO EN QUE REALIZO UNA COMPRAVENTA AUTOTENTICADA POR LA NOTARIA NOVENA DEL CIRCUITO. EL NEGOCIO TUVO LUGAR EN LA CRA 80 CON CALLE 38 AL FRENTE DE LA CLINICA LAS AMERICAS DE LA 80. EL PASADO LUNES 7 DE ENERO EN UN CONTROL POLICIAL SE REVISAN LOS ANTECEDENTES DE LA MOTOCICLETA ENCONTRANDO QUE EL VEHICULO TIENE UN DENUNCIO POR HURTO EN LA FISCALIA 223 SECCIONAL BOGOTA CON NOTICIA CRIMINAL 888816101523202304732 POR LO QUE EL VEHICULO FUE CONDUCIDO A LA ESTACION DE POLICIA DEL MUNICIPIO DE BELLO ANTIOQUIA PARA SER PUESTO A DISPOSICION DE LA AUTORIDAD COMPETENTE, A PESAR DE HABER TRATADO DE LLEGAR A UN ACUERDO CON EL SEÑOR BARRANQUILLA HERNANDEZ NO SE HA PODIDO.",OK
3,Municipio Fiscal,1 - BOGOTÁ,1 - BOGOTÁ,OK
3,Seccional,100141 - DIRECCIÓN SECCIONAL DE BOGOTA,100141 - DIRECCIÓN SECCIONAL DE BOGOTA,OK
3,Unidad de Fiscalía,500141034 - UNIDAD ESTAFAS - BOGOTA,500141034 - UNIDAD ESTAFAS - BOGOTA,OK
3,Despacho,333 - FISCALIA 333,333 - FISCALIA 333,OK
3,Estado de la asignación,VIGENTE,VIGENTE,OK
3,Unidad de Enrutamiento,DIRECCIÓN SECCIONAL DE BOGOTÁ-UNIDAD ESTAFAS - BOGOTÁ,DIRECCIÓN SECCIONAL DE BOGOTÁ-UNIDAD ESTAFAS - BOGOTÁ,OK
3,Estado del caso,ACTIVO,ACTIVO,OK
3,Etapa del caso,QUERELLABLE,QUERELLABLE,OK
3,Calidad_1,DENUNCIANTE,,
3,Documento_1,CEDULA DE CIUDADANIA,,
3,Número documento_1,7778347478,,
3,Nombre_1,ACEVEDO ESTRADA PEDRO MIGUEL Departamento de notificación: TOLIMA Municipio de notificación: IBAGUE,,
3,Departamento de notificación_1,,,
3,Municipio de notificación_1,,,
3,Dirección de notificación_1,CALLE 9 CON CARRERA 13 -56,,
3,Teléfono de notificación_1,3997382816,,
3,Teléfono móvil_1,377788992,,
3,Correo Electrónico_1,ACPMXXX@GMAIL.COM,,
3,Teléfono Oficina_1,6014569977,,
3,Calidad_2,INDICIADO,,
3,Documento_2,CEDULA DE CIUDADANIA,,
3,Número documento_2,8888738290,,
3,Nombre_2,BARRANQUILLA HERNANDEZ CARLOS Departamento de notificación: SANTANDER Municipio de notificación: BUCARAMANGA,,
3,Departamento de notificación_2,,,
3,Municipio de notificación_2,,,
3,Dirección de notificación_2,CARRERA 78 No. 45-28,,
3,Teléfono de notificación_2,6043280987,,
3,Teléfono móvil_2,3225506549,,
3,Correo Electrónico_2,sssss@hotmail.com,,
3,Teléfono Oficina_2,6012347849,,
3,Calidad_3,TESTIGO,,
3,Documento_3,CEDULA DE CIUDADANIA,,
3,Número documento_3,4444770387,,
3,Nombre_3,MESA MOLINA CLAUDI JOHANA Departamento de notificación: QUINDIO Municipio de notificación: ARMENIA,,
3,Departamento de notificación_3,,,
3,Municipio de notificación_3,,,
3,Dirección de notificación_3,DIAGINAL 3 No. 10-28,,
3,Teléfono de notificación_3,6136783425,,
3,Teléfono móvil_3,366634896,,
3,Correo Electrónico_3,zzzz@sert.com.co,,
3,Teléfono Oficina_3,602765893,,
3,Calidad_4,VICTIMA,,
